Source Coordinate,Target Coordinate,Path Type,Obstacle,Path ID,Channel coefficient,Propagation delay,Zenith angle of departure,Azimuth angle of departure,Zenith angle of arrival,Azimuth angle of arrival
[[-24. -14.  10.]],[[ 2. 10.  5.]],[[0 1 1 1 1 1 1 1]],0,0,(0.000671953+0j),0.0,1.7111754,0.7454195,1.4304173,-2.3961732
[[-24. -14.  10.]],[[ 2. 11.  5.]],[[1 1 1 1 1 1 1]],0,0,(8.935792e-07+8.9427e-07j),0.004936893560625322,1.8274407,2.6285899,1.8274405,-2.6285899
[[-24. -14.  10.]],[[ 2. 12.  5.]],[[1 1 1 1 1 1 1 1]],0,0,(9.2629966e-07+8.8807025e-07j),0.004890793547929206,1.8250614,2.6116502,1.8250612,-2.61165
[[-24. -14.  10.]],[[ 2. 13.  5.]],[[1 1 1 1 1 1 1]],0,0,(1.0228044e-06+9.3842215e-07j),0.004844267209591635,1.8226573,2.59504,1.8226571,-2.5950398
[[-24. -14.  10.]],[[ 2. 14.  5.]],[[0 1 1 1 1 1 1 1 1]],0,0,(0.00062398997+0j),0.0,1.7009132,0.82241833,1.4406796,-2.3191743
[[-24. -14.  10.]],[[ 2. 15.  5.]],[[0 1 1 1 1 1 1 1 1]],0,0,(0.0006125423+0j),0.0,1.6984721,0.83988965,1.4431206,-2.301703
[[-24. -14.  10.]],[[ 2. 16.  5.]],[[0 1 1 1 1 1 1 1]],0,0,(0.0006013321+0j),0.0,1.696085,0.8567057,1.4455078,-2.284887
[[-24. -14.  10.]],[[ 2. 17.  5.]],[[0 1 1 1 1 1 1]],0,0,(0.00059036544+0j),0.0,1.6937522,0.87289345,1.4478405,-2.2686992
[[-24. -14.  10.]],[[ 2. 18.  5.]],[[0 1 1 1 1 1 1 1 1]],0,0,(0.00057964626+0j),0.0,1.691475,0.8884798,1.4501177,-2.2531128
[[-24. -14.  10.]],[[ 2. 19.  5.]],[[0 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0005691765+0j),0.0,1.6892532,0.90349025,1.4523395,-2.2381024
[[-24. -14.  10.]],[[ 2. 20.  5.]],[[0 1 1 1 1 1 1 1 1]],0,0,(0.0005589571+0j),0.0,1.6870868,0.91794974,1.4545059,-2.223643
[[-24. -14.  10.]],[[ 2. 21.  5.]],[[0 1 1 1 1 1 1 1 1 1]],0,0,(0.00054898753+0j),0.0,1.6849755,0.9318824,1.4566172,-2.2097104
[[-24. -14.  10.]],[[ 2. 22.  5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.000539266+0j),0.0,1.6829185,0.9453113,1.4586742,-2.1962814
[[-24. -14.  10.]],[[ 2. 23.  5.]],[[0 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.00052979024+0j),0.0,1.6809157,0.9582588,1.460677,-2.1833339
[[-24. -14.  10.]],[[ 2. 24.  5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.000520557+0j),0.0,1.6789657,0.97074616,1.462627,-2.1708465
